id_claim,scheme,claim_text,state_claim,district_claim,source_claim,date_claim,id_report,report_text,state_report,district_report,source_report,date_report,type,nli_label,confidence
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,1,"In Bundelkhand, women still walk 2 km to fetch water daily despite government claims",Uttar Pradesh,Banda,WaterAid,2024-03-15,field_report,contradiction,0.4583004117012024
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,2,63.4 million people in rural areas live without access to clean water,All India,All Districts,WaterAid,2024-06-01,survey,contradiction,0.4329324960708618
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,3,Water levels are below their 10-year averages in Uttar Pradesh,Uttar Pradesh,All Districts,Citizen Matters,2024-05-11,news,contradiction,0.44394147396087646
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,4,Uttar Pradesh is grappling with unabated use of groundwater resources,Uttar Pradesh,All Districts,Down to Earth,2023-06-12,news,contradiction,0.5093181729316711
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,5,Bihar and Uttar Pradesh had the lowest Water Performance Index scores,Bihar,All Districts,Economic Political Weekly,2024-08-22,research,contradiction,0.4472373127937317
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,6,Water-guzzling crops push Uttar Pradesh to the brink of groundwater crisis,Uttar Pradesh,All Districts,Down to Earth,2025-01-29,news,contradiction,0.5096915364265442
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,12,Despite infrastructure water quality remains poor in rural areas,Uttar Pradesh,Banda,Local News,2024-07-01,field_report,contradiction,0.5322421193122864
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,13,Adolescent girls often miss school due to water collection duties,All India,All Districts,WaterAid,2024-06-01,survey,contradiction,0.436147540807724
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,15,Piped water connections exist but water supply is irregular,Uttar Pradesh,Banda,Twitter,2024-09-01,social_media,contradiction,0.4282808005809784
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,16,Groundwater depletion threatens long-term water security,Uttar Pradesh,All Districts,Down to Earth,2024-10-01,news,contradiction,0.4935624599456787
1,Har Ghar Jal,5.38 Crore rural households have been provided tap water connection since August 2019,All India,All Districts,PIB,2021-12-05,19,Water scarcity continues despite government claims of success,Uttar Pradesh,Banda,Local Survey,2025-01-01,survey,contradiction,0.4547343850135803
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,1,"In Bundelkhand, women still walk 2 km to fetch water daily despite government claims",Uttar Pradesh,Banda,WaterAid,2024-03-15,field_report,entailment,0.4580257833003998
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,2,63.4 million people in rural areas live without access to clean water,All India,All Districts,WaterAid,2024-06-01,survey,contradiction,0.42714715003967285
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,3,Water levels are below their 10-year averages in Uttar Pradesh,Uttar Pradesh,All Districts,Citizen Matters,2024-05-11,news,contradiction,0.45347869396209717
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,4,Uttar Pradesh is grappling with unabated use of groundwater resources,Uttar Pradesh,All Districts,Down to Earth,2023-06-12,news,contradiction,0.39241790771484375
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,5,Bihar and Uttar Pradesh had the lowest Water Performance Index scores,Bihar,All Districts,Economic Political Weekly,2024-08-22,research,contradiction,0.4238888919353485
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,6,Water-guzzling crops push Uttar Pradesh to the brink of groundwater crisis,Uttar Pradesh,All Districts,Down to Earth,2025-01-29,news,contradiction,0.46401888132095337
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,12,Despite infrastructure water quality remains poor in rural areas,Uttar Pradesh,Banda,Local News,2024-07-01,field_report,entailment,0.3936409652233124
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,13,Adolescent girls often miss school due to water collection duties,All India,All Districts,WaterAid,2024-06-01,survey,contradiction,0.4432620704174042
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,15,Piped water connections exist but water supply is irregular,Uttar Pradesh,Banda,Twitter,2024-09-01,social_media,entailment,0.3773397207260132
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,16,Groundwater depletion threatens long-term water security,Uttar Pradesh,All Districts,Down to Earth,2024-10-01,news,contradiction,0.45133426785469055
2,Har Ghar Jal,8.61 Crore (44.84%) households have provision of tap water supply out of 19.22 Crore rural households,All India,All Districts,PIB,2021-12-05,19,Water scarcity continues despite government claims of success,Uttar Pradesh,Banda,Local Survey,2025-01-01,survey,entailment,0.3876808285713196
