id,scheme_name,claim_text,report_text,synthetic_gold_label
1,Jal Jeevan Mission,Jal Jeevan Mission has successfully provided households in cluster of habitations of Punjab with electricity connections and 24x7 supply.,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Toilets are unusable due to lack of water connections or broken pits.",unfulfilled
2,Ujjwala Yojana,"Ujjwala Yojana reports that roads connecting habitations in district, Tamil Nadu are complete and motorable throughout the year.",On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Third-party monitors reported improved service indicators this year.,fulfilled
3,PM Awas Yojana,"All rural households in rural block, West Bengal are reported to have received clean cooking fuel connections under PM Awas Yojana.",Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Local administrators confirmed household-level connections during surprise checks.,fulfilled
4,Ayushman Bharat,Smart city projects under Ayushman Bharat have made the municipal services fully digital and integrated in Kerala.,"Field verification in district, Kerala indicates that most households do have piped water and receive regular supply, corroborating the official claim. Third-party monitors reported improved service indicators this year.",fulfilled
5,PM-KISAN,The health initiative PM-KISAN has set up the required number of primary health centres in Uttar Pradesh and increased service coverage.,Local NGOs report that large numbers of eligible farmers in Uttar Pradesh have not received the promised transfers or faced delays in payments. Many households reported receiving taps but no running water.,unfulfilled
6,Atmanirbhar Bharat,Atmanirbhar Bharat has successfully provided households in rural block of Assam with electricity connections and 24x7 supply.,"A field investigation in rural block, Assam found many households still without functioning piped water connections; supply remains intermittent. Electric meters installed but supply often limited to a few hours.",unfulfilled
7,PM Awas Yojana,"PM Awas Yojana reports that roads connecting habitations in cluster of habitations, Maharashtra are complete and motorable throughout the year.",Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,uncertain
8,MGNREGA,MGNREGA claims that farmer beneficiaries in Madhya Pradesh have received timely financial assistance under the scheme.,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Third-party monitors reported improved service indicators this year.,fulfilled
9,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) claims that farmer beneficiaries in Haryana have received timely financial assistance under the scheme.,On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Electric meters installed but supply often limited to a few hours.,unfulfilled
10,Swachh Bharat Mission,Swachh Bharat Mission has successfully provided households in district of Rajasthan with electricity connections and 24x7 supply.,"Field verification in district, Rajasthan indicates that most households do have piped water and receive regular supply, corroborating the official claim. Third-party monitors reported improved service indicators this year.",fulfilled
11,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),The government has ensured that all households in district of Assam have access to piped water connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).,"Field verification in district, Assam indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",fulfilled
12,Atmanirbhar Bharat,The health initiative Atmanirbhar Bharat has set up the required number of primary health centres in Uttar Pradesh and increased service coverage.,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Payments were delayed by months according to farmer groups.",unfulfilled
13,Smart Cities Mission,Smart city projects under Smart Cities Mission have made the municipal services fully digital and integrated in Odisha.,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Third-party monitors reported improved service indicators this year.,fulfilled
14,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) claims that farmer beneficiaries in Kerala have received timely financial assistance under the scheme.,"Field verification in urban slum, Kerala indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",fulfilled
15,Beti Bachao Beti Padhao,Beti Bachao Beti Padhao claims that farmer beneficiaries in Gujarat have received timely financial assistance under the scheme.,"A field investigation in urban slum, Gujarat found many households still without functioning piped water connections; supply remains intermittent. Many households reported receiving taps but no running water.",unfulfilled
16,Beti Bachao Beti Padhao,Beti Bachao Beti Padhao has successfully provided households in municipality of Haryana with electricity connections and 24x7 supply.,Local NGOs report that large numbers of eligible farmers in Haryana have not received the promised transfers or faced delays in payments. Payments were delayed by months according to farmer groups.,unfulfilled
