id,scheme_name,report_text,report_source
1,Jal Jeevan Mission,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Toilets are unusable due to lack of water connections or broken pits.",NDTV report (Punjab field note)
2,Ujjwala Yojana,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Third-party monitors reported improved service indicators this year.,Field visit report (Tamil Nadu field note)
3,PM Awas Yojana,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Local administrators confirmed household-level connections during surprise checks.,IndiaSpend analysis (West Bengal field note)
4,Ayushman Bharat,"Field verification in district, Kerala indicates that most households do have piped water and receive regular supply, corroborating the official claim. Third-party monitors reported improved service indicators this year.",The Wire investigation (Kerala field note)
5,PM-KISAN,Local NGOs report that large numbers of eligible farmers in Uttar Pradesh have not received the promised transfers or faced delays in payments. Many households reported receiving taps but no running water.,IndiaSpend analysis (Uttar Pradesh field note)
6,Atmanirbhar Bharat,"A field investigation in rural block, Assam found many households still without functioning piped water connections; supply remains intermittent. Electric meters installed but supply often limited to a few hours.",Field visit report (Assam field note)
7,PM Awas Yojana,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,The Wire investigation (Maharashtra field note)
8,MGNREGA,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Third-party monitors reported improved service indicators this year.,Media fact-check (Madhya Pradesh field note)
9,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Electric meters installed but supply often limited to a few hours.,Local NGO report (Haryana field note)
10,Swachh Bharat Mission,"Field verification in district, Rajasthan indicates that most households do have piped water and receive regular supply, corroborating the official claim. Third-party monitors reported improved service indicators this year.",Independent survey (2024) (Rajasthan field note)
11,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Field verification in district, Assam indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",NDTV report (Assam field note)
12,Atmanirbhar Bharat,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Payments were delayed by months according to farmer groups.",The Wire investigation (Uttar Pradesh field note)
13,Smart Cities Mission,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Third-party monitors reported improved service indicators this year.,Local NGO report (Odisha field note)
14,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Field verification in urban slum, Kerala indicates that most households do have piped water and receive regular supply, corroborating the official claim. Local administrators confirmed household-level connections during surprise checks.",Media fact-check (Kerala field note)
15,Beti Bachao Beti Padhao,"A field investigation in urban slum, Gujarat found many households still without functioning piped water connections; supply remains intermittent. Many households reported receiving taps but no running water.",NDTV report (Gujarat field note)
16,Beti Bachao Beti Padhao,Local NGOs report that large numbers of eligible farmers in Haryana have not received the promised transfers or faced delays in payments. Payments were delayed by months according to farmer groups.,Independent survey (2024) (Haryana field note)
17,PM-KISAN,Independent monitoring found electricity connections installed and many households reporting regular supply in several villages. Local administrators confirmed household-level connections during surprise checks.,Field visit report (Maharashtra field note)
18,Atmanirbhar Bharat,"A field investigation in urban slum, Bihar found many households still without functioning piped water connections; supply remains intermittent. Electric meters installed but supply often limited to a few hours.",Field visit report (Bihar field note)
19,Jal Jeevan Mission,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,Local NGO report (Bihar field note)
20,PM-KISAN,Local surveys confirm that a large majority of eligible families in Rajasthan received the promised benefits and subsidies under PM-KISAN. Beneficiary interviews corroborated receipt of benefits and regular services.,NDTV report (Rajasthan field note)
21,Beti Bachao Beti Padhao,Official numbers and local reports diverge; further verification on selected samples is required to confirm the extent of coverage.,Media fact-check (Karnataka field note)
22,Pradhan Mantri Gram Sadak Yojana,Local NGOs report that large numbers of eligible farmers in Kerala have not received the promised transfers or faced delays in payments. Toilets are unusable due to lack of water connections or broken pits.,IndiaSpend analysis (Kerala field note)
23,Jal Jeevan Mission,On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Local administrators confirmed household-level connections during surprise checks.,NDTV report (Assam field note)
24,Poshan Abhiyaan,"Field verification in village panchayat, Odisha indicates that most households do have piped water and receive regular supply, corroborating the official claim. Third-party monitors reported improved service indicators this year.",NDTV report (Odisha field note)
25,Digital India,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,Local NGO report (Maharashtra field note)
26,Swachh Bharat Mission,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Local administrators confirmed household-level connections during surprise checks.,Independent survey (2024) (Chhattisgarh field note)
27,Swachh Bharat Mission,Health facility mapping found that new primary health centres are functional and several programs are reaching intended beneficiaries. Beneficiary interviews corroborated receipt of benefits and regular services.,The Wire investigation (Tamil Nadu field note)
28,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),On-ground checks show that toilets were constructed in the majority of households in targeted areas and ODF status has improved. Beneficiary interviews corroborated receipt of benefits and regular services.,IndiaSpend analysis (Punjab field note)
29,Smart Cities Mission,"Reports provide mixed findings: while some pockets in municipality, Punjab have benefited, other areas still face shortfalls and inconsistent delivery.",NDTV report (Punjab field note)
30,PM-KISAN,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Payments were delayed by months according to farmer groups.",Independent survey (2024) (Assam field note)
31,Ujjwala Yojana,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",The Wire investigation (Maharashtra field note)
32,PM Awas Yojana,"The road is reported incomplete or damaged in many stretches, leaving several habitations with only seasonal access. Electric meters installed but supply often limited to a few hours.",NDTV report (Odisha field note)
33,Smart Cities Mission,Local NGOs report that large numbers of eligible farmers in Madhya Pradesh have not received the promised transfers or faced delays in payments. Toilets are unusable due to lack of water connections or broken pits.,NDTV report (Madhya Pradesh field note)
34,Atmanirbhar Bharat,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",The Wire investigation (Bihar field note)
35,Poshan Abhiyaan,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Electric meters installed but supply often limited to a few hours.",Local NGO report (Rajasthan field note)
36,Ujjwala Yojana,On-ground reporting shows that electricity is available but often limited to a few hours a day; connection figures appear inflated. Toilets are unusable due to lack of water connections or broken pits.,NDTV report (Chhattisgarh field note)
37,Jal Jeevan Mission,Survey data is inconclusive; official dashboards show coverage but independent sample surveys indicate uneven implementation across the district.,Media fact-check (Gujarat field note)
38,PM-KISAN,"A field investigation in cluster of habitations, West Bengal found many households still without functioning piped water connections; supply remains intermittent. Many households reported receiving taps but no running water.",NDTV report (West Bengal field note)
39,Atmanirbhar Bharat,"The claim is partially supported by some administrative records, but local interviews and sample checks show variations that raise uncertainty.",Independent survey (2024) (Haryana field note)
40,MGNREGA,"Media fact-checks reveal that toilets built under the program are not functional or lack water and maintenance, undermining ODF claims. Toilets are unusable due to lack of water connections or broken pits.",Field visit report (Maharashtra field note)
41,Digital India,"A field investigation in municipality, Uttar Pradesh found many households still without functioning piped water connections; supply remains intermittent. Toilets are unusable due to lack of water connections or broken pits.",Field visit report (Uttar Pradesh field note)
42,MGNREGA,Local surveys confirm that a large majority of eligible families in Chhattisgarh received the promised benefits and subsidies under MGNREGA. Local administrators confirmed household-level connections during surprise checks.,Field visit report (Chhattisgarh field note)
